cpi_code,year,1,2,3,4,5,6,7,8,9,10,11,12,prodcode
120050,1983,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,30.0
120040,1983,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.5,0.6,0.7,0.8,0.8,31.0
120450,1983,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,32.0
120520,1983,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,33.0
120660,1983,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.8,3.1,34.0
120850,1983,2.2,2.1,2.3,2.8,2.9,3.0,3.1,3.0,3.3,4.9,5.6,5.8,35.0
121230,1983,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,36.0
121050,1983,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,37.0
121320,1983,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.0,38.0
121430,1983,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.9,1.0,39
120050,1984,1.0,1.1,1.3,1.4,1.6,1.8,2.1,2.4,3.0,3.7,4.4,4.5,30.0
120040,1984,0.9,1.0,1.1,1.4,1.8,2.0,1.9,2.3,2.9,3.8,4.7,5.3,31.0
120450,1984,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.7,2.0,2.3,2.5,32.0
120520,1984,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.8,2.2,2.8,3.2,3.2,33.0
120660,1984,3.5,3.8,4.2,4.8,5.6,6.4,7.5,8.7,10.8,13.5,16.3,16.7,34.0
120850,1984,5.8,5.9,6.3,9.4,10.7,12.0,12.9,13.5,16.0,23.6,32.7,32.9,35.0
121230,1984,0.6,0.7,0.7,0.9,1.0,1.1,1.4,1.6,1.9,2.3,2.8,3.0,36.0
121050,1984,1.2,1.3,1.5,1.7,2.0,2.2,2.5,3.0,3.7,4.6,5.4,5.5,37.0
121320,1984,1.2,1.3,1.5,1.7,2.0,2.2,2.5,3.0,3.6,4.6,5.2,5.4,38.0
121430,1984,1.1,1.2,1.4,1.5,1.8,2.1,2.4,2.7,3.4,4.2,5.1,5.3,39
120050,1985,4.6,5.5,6.2,7.2,7.5,9.1,12.6,12.8,12.8,12.9,12.9,12.9,30.0
120040,1985,5.9,6.6,7.4,8.5,8.9,8.8,8.7,10.0,13.9,17.4,14.5,14.8,31.0
120450,1985,2.7,3.0,3.3,4.2,4.4,4.9,6.2,6.4,6.4,6.8,7.0,7.2,32.0
120520,1985,3.5,4.1,4.6,5.7,6.0,7.0,9.3,9.6,9.7,9.8,9.9,10.1,33.0
120660,1985,16.9,18.2,20.1,22.7,24.1,27.8,34.0,35.6,36.1,36.5,37.4,37.4,34.0
120850,1985,32.7,32.7,33.8,49.3,51.9,58.2,65.9,66.2,67.1,81.0,87.5,87.7,35.0
121230,1985,3.0,3.2,3.6,4.1,4.5,5.1,6.4,7.1,7.4,7.6,8.0,8.3,36.0
121050,1985,5.6,6.4,7.2,8.2,9.0,10.8,13.1,13.7,14.3,14.9,15.0,15.0,37.0
121320,1985,5.9,7.1,8.2,9.4,10.3,12.6,17.2,17.8,17.8,17.4,17.4,17.7,38.0
121430,1985,5.4,5.9,6.5,7.4,7.8,8.9,11.2,11.7,12.2,12.4,12.5,12.6,39
120050,1986,13.0,13.2,13.3,13.5,14.1,14.7,14.8,14.9,14.9,15.0,15.0,15.0,30.0
120040,1986,16.5,17.1,17.5,19.0,18.7,18.3,16.8,17.2,18.0,19.7,22.8,24.6,31.0
120450,1986,6.5,6.6,6.7,6.7,6.8,6.9,6.7,6.8,6.9,7.2,7.4,7.5,32.0
120520,1986,10.1,10.3,10.3,11.4,11.5,11.5,11.7,11.9,12.1,12.3,12.6,12.9,33.0
120660,1986,38.2,38.4,39.1,39.7,40.2,40.5,41.0,41.9,42.9,43.6,44.2,44.7,34.0
120850,1986,85.2,81.8,79.7,90.3,91.6,92.3,91.8,88.6,88.7,93.2,100.9,101.4,35.0
121230,1986,8.6,8.6,8.8,9.0,9.2,9.4,9.9,10.0,10.3,10.6,10.9,11.0,36.0
121050,1986,15.0,15.3,15.7,16.3,16.3,16.7,17.3,17.7,18.2,18.7,19.0,19.4,37.0
121320,1986,17.7,18.0,18.8,19.3,19.4,19.6,19.9,20.0,20.4,20.4,20.4,20.3,38.0
121430,1986,12.9,13.4,13.6,13.6,13.8,14.0,14.3,14.7,15.0,15.2,15.4,15.5,39
120050,1987,15.4,15.7,15.8,16.0,16.1,16.3,16.4,16.5,16.6,16.8,17.0,17.1,30.0
120040,1987,26.0,24.0,23.8,24.8,23.3,22.4,20.4,21.1,21.0,21.8,21.9,22.7,31.0
120450,1987,7.4,7.6,7.8,7.9,8.0,8.1,8.2,8.3,8.4,8.4,8.6,8.7,32.0
120520,1987,13.2,13.5,13.8,14.0,14.3,14.6,14.8,15.0,15.2,15.5,15.7,16.0,33.0
120660,1987,45.8,47.0,48.0,48.8,49.1,49.4,49.8,50.4,50.7,51.7,52.5,53.1,34.0
120850,1987,96.6,91.7,90.5,100.4,105.9,107.4,104.2,97.9,97.0,103.6,113.5,115.9,35.0
121230,1987,11.6,11.9,12.1,12.4,12.6,12.8,13.1,13.2,13.4,13.7,13.9,14.3,36.0
121050,1987,20.0,20.5,21.0,21.2,21.4,21.7,22.1,22.4,22.9,23.3,23.6,23.9,37.0
121320,1987,21.0,21.3,21.4,22.2,22.2,22.6,22.7,23.3,23.5,23.6,23.5,23.7,38.0
121430,1987,15.8,16.2,16.5,16.8,17.1,17.6,17.9,18.1,18.3,18.7,19.0,19.3,39
120050,1988,17.5,17.7,17.9,18.1,19.1,19.5,19.7,19.9,20.0,20.8,20.9,21.0,30.0
120040,1988,24.8,24.3,26.7,31.9,29.5,25.4,24.3,24.9,27.4,27.3,28.1,27.0,31.0
120450,1988,8.6,8.9,9.1,8.9,9.1,9.3,9.3,9.4,9.7,10.3,10.5,10.6,32.0
120520,1988,16.3,16.6,16.8,17.0,17.2,17.5,17.7,17.9,18.1,18.4,18.8,19.0,33.0
120660,1988,53.5,54.0,54.2,54.6,55.2,55.2,55.7,56.1,56.2,56.5,57.0,57.4,34.0
120850,1988,110.7,105.4,103.5,113.6,117.0,118.1,114.3,109.7,109.8,114.3,121.3,121.3,35.0
121230,1988,14.5,14.6,14.9,15.0,15.3,15.5,15.7,15.9,16.1,16.3,16.9,17.4,36.0
121050,1988,24.1,24.3,24.9,25.6,25.9,26.1,26.4,26.5,27.1,27.4,27.4,27.7,37.0
121320,1988,24.2,24.5,24.6,25.0,24.9,25.0,25.1,25.3,25.4,25.4,25.4,25.5,38.0
121430,1988,19.4,19.4,19.6,19.9,20.2,20.4,20.6,20.9,21.0,21.2,21.3,21.5,39
120050,1989,23.1,23.6,23.7,23.8,24.1,24.3,24.7,24.9,25.0,25.3,25.4,25.5,30.0
120040,1989,30.7,32.0,29.9,32.1,28.7,26.6,24.6,25.4,26.1,27.2,27.2,28.2,31.0
120450,1989,10.8,11.0,11.1,11.7,12.1,12.4,12.4,12.9,13.5,14.0,14.3,14.4,32.0
