prodcode,description
c3,Total consumption expenditure
c30,Food (excluding vegetables and fruits) - total
c300,Bread grains and baked products
c300012,Regular black and white bread
c300038,Sliced bread
c300046,Special bread
c300053,Regular and sweet challah
c300061,Rolls and bagels
c300079,Pitas
c300087,Matzah
c300095,BNZ bread
c300202,Regular white flour
c300210,Other flour
c300228,Various grains
c300236,Rice
c300244,Light bread
c300251,Brown rice
c300269,Rising flour
c300277,Oatmeal
c300285,Couscous
c300293,Semolina
c300301,Cakes
c300319,Cookies and biscuits
c300327,Waffles
c300335,Salty snacks
c300343,Crackers
c300350,Bagels
c300368,Peanut snacks
c300376,Potato snacks
c300400,Frozen dough
c300418,Non-frozen dough products
c300426,Noodles and macaroni
c300442,Cornflakes and puffs
c300459,Ready cake mixes
c300467,BNZ dough products
c300475,Frozen pastry products
c300483,Other frozen grain and dough products
c300491,Soup almonds and croutons
c300509,Rice cakes
c300517,Health snacks
c300525,Frozen malawach and jachnun
c300533,Bread crumbs
c300541,Cornflour
c300558,Potato flour
c300566,Spelt flour
c300574,Whole wheat flour
c300582,Matzah flour
c300590,Rye flour
c300608,Popcorn
c300616,Rice snacks and rice cakes
c300624,Frozen pizza
c300632,Bulgur or grisha
c300640,Quinoa
c300657,Buckwheat
c300665,Millet
c300673,Wheat
c300681,Ravioli
c301,Vegetable oils and products
c301010,Soybean oil
c301028,Olive oil
c301036,Other oil
c301044,Margarine
c301051,Mayonnaise products
c301069,Tahini
c301077,Canola oil
c301085,Sunflower oil
c301093,Corn oil
c302,Meat and poultry
c302018,Beef
c302034,Ground beef
c302059,Other meat and animals
c302067,Beef liver
c302075,Internal parts bones and legs
c302083,Lamb and kid meat
c302091,BNZ meat
c302109,Whole chicken and turkey
c302125,Other poultry
c302133,Chicken and turkey breast
c302141,Ground chicken and turkey
c302158,Legs and thighs
c302166,Chicken and turkey liver
c302174,Chicken and turkey rolls and shawarma
c302182,Other chicken and turkey parts
c302190,BNZ chicken and turkey
c302208,Sausages and pastrami from turkey and beef
c302224,Frozen meat and poultry products
c302232,Meat and poultry spreads and salads
c302240,Preserved meat and poultry products
c302323,Hot dogs
c302331,Live chicken
c302349,Live lamb
c303,Fish
c303032,Non-locally farmed fish
c303040,Other seafood
c303057,Canned fish
c303065,Processed fish
c303073,Fish spread and salad
c303081,Ready-to-cook fish products
c303099,BNZ fish
c303107,Locally farmed fish
c304,Dairy products and eggs
c304014,Pasteurized milk
c304022,Sterilized and UHT milk
c304030,Other milk
c304048,Chocolate coffee and cocoa drinks
c304105,Butter
c304113,Eshel white cheese and yogurt
c304121,Milk and cheese desserts
c304139,Sour cream
c304147,Sweet cream
c304154,Hard yellow cheese
c304162,Processed cheese
c304170,White cheese
c304188,Salted cheese
c304204,BNZ cheese
c304212,Ice cream and popsicles
c304220,Cottage cheese
c304303,Eggs
c304311,Organic eggs
c304320,Goat milk
c305,Sugar and products
c305011,Sugar
c305037,Sugar substitutes
c305045,Jam and preserves
c305052,Honey
c305078,Candies
c305086,Halva
c305094,Chocolates and bonbons
c305102,Other sweets
c305110,Dried fruit spreads
c305128,Chocolate and cocoa spreads
c305136,Syrups
c305144,Date syrup
c305151,Other sweet spreads
c306,Soft drinks
c306019,Home soda
c306027,Dark beer
c306035,Non-carbonated soft drinks
c306043,Carbonated soft drinks
c306050,Mineral water
c306068,Sweetened concentrates
c306076,Bottle deposits
c306084,Energy drinks
c307,Alcoholic beverages
c307017,Wine
c307025,Light beer
c307033,Brandy liqueur cognac
c307041,Other alcoholic beverages
c307058,Vodka
c308,Meals outside home
c308015,Meals at work
c308023,Restaurant meals
c308031,Coffee shop purchases
c308049,Kiosk snack bar cafeteria purchases
c308056,School meal payment
c308064,Pub expenses
c308072,Soup kitchen meals
c308098,Fast food restaurant meals
c309,Various food products
c309013,Tea
c309021,Coffee
c309039,Instant coffee
c309047,Cocoa powder
c309054,Salt
c309062,Baking aids
c309070,Ready pasta and salad sauces
c309088,Spices
c309096,Poppy sesame coconut chia and flax seeds
c309104,Soup powders dips and sauces
c309120,Hummus powder mashed potato etc
c309138,Pudding powder gelatin
c309153,Chewing gum
c309187,Ready meals (frozen)
c309203,Baby food
c309211,Dry beans
c309229,Dry peas
c309237,Chickpeas
c309245,Other dry legumes
c309252,Packaged meals
c309260,Food delivery home
c309278,Fresh ready food for home
c309286,Granola
c309294,Meat substitutes and vegetarian products
c309302,Soy yogurt/tofu/tahini/almond products
c309310,Soy drink / tofu
c309328,Cheese substitutes
c309336,Vinegar
c309344,Mustard
c309351,Ketchup
c309369,Baby fruit and vegetable puree
c309377,Coffee capsules
c309385,Dry fava beans
c309393,Lentils
c309401,Rice milk
c309419,Coconut milk cream and water
c309427,Almond milk
c309435,Milk powder
c309997,BNZ food
c31,Vegetables and fruits total
c311,Potatoes and sweet potatoes
c311019,Potatoes and sweet potatoes
c312,Fresh vegetables
c312017,Green peas
c312025,Dry and green onions
c312033,Garlic
c312041,Carrots
c312058,Lettuce
c312066,Eggplants
c312074,Cabbage
c312082,Cauliflower
c312090,Cucumbers
c312108,Beets
c312116,Tomatoes
c312124,Bell peppers and pimentos
c312132,Hot peppers
c312140,Radish and radishes
c312157,Zucchini
c312165,Corn on the cob
c312173,Fresh beans
c312181,Green fava beans
c312199,Other vegetables
c312207,Herbs including leafy and root vegetables
c312298,BNZ fresh vegetables
c312306,Fresh mushrooms
c312314,Pumpkin
c312322,Broccoli
c312330,Kohlrabi
c312348,Okra
c312355,Sprouts
c312363,Parsley including root
c312371,Coriander
c312389,Cut vegetables for salad
c312397,Fresh asparagus
c312405,Fresh artichoke
c312413,Mint
c312421,Dill
c312439,Celery including root
c312447,Spinach chard beet leaves
c313,Fresh fruits
c313015,Oranges
c313023,Clementines and mandarins
c313031,Grapefruits
c313049,Lemons
c313056,Other citrus fruit
c313064,Avocado
c313072,Watermelons
c313080,Pears
c313098,Peaches nectarines
c313106,Bananas
c313114,Melons
c313122,Apricots
c313130,Grapes
c313148,Pomegranates
c313155,Plums
c313163,Fresh figs
c313171,Strawberries
c313189,Apples
c313197,Persimmons
c313205,Mangos
c313213,Other fresh fruits
c313221,Kiwi
c313239,Pomelo
c313247,Tiny citrus
c313254,Cherries
c313262,Guava
c313270,Fresh dates
c313288,Quinces
c313296,Prickly pear
c313304,Loquat
c313312,BNZ fresh fruits
c313320,BNZ fresh fruits and vegetables
c314,Frozen vegetables
c314013,Frozen potato products
c314021,Mixed frozen vegetables/frozen vegetable mix
c314039,Individual frozen vegetables
c315,Preserved and pickled vegetables
c315010,Peas and carrots preserves
c315028,Other vegetable preserves
c315036,BNZ vegetable preserves
c315051,Pickled cucumbers
c315069,Olives
c315077,Other pickled vegetables
c315085,BNZ pickles
c315101,Other ready salads
c315119,Tomato preserves including paste
c315127,Vegetable juices
c315135,Dried vegetables
c315143,Stuffed vegetables
c315150,Vegetarian spreads
c315168,Corn and bean preserves
c315176,Hummus salad
c315184,Tahini salad
